,sahm,indpro,sp500,tr10,t10yff,unrate,pcepi,recession,date
238,0.8,-0.011682161347739924,0.03593683516645811,-1.7553174603174622,0.08055555555555555,0.083,0.23199999999999932,1,1981-11-01
239,1.07,-0.010902315583794377,-0.03053672386008165,0.3317676767676776,1.2754545454545456,0.085,0.13400000000000034,1,1981-12-01
240,1.23,-0.020709427975285476,-0.01769957709940086,0.8694545454545448,1.3315,0.086,0.25900000000000034,1,1982-01-01
241,1.4,0.020213406678372185,-0.062458736331431036,-0.16844444444444306,-0.31555555555555553,0.08900000000000001,0.1319999999999979,1,1982-02-01
242,1.47,-0.006776093228297903,-0.010219131896037013,-0.5642512077294697,-0.8452173913043479,0.09,0.11299999999999955,1,1982-03-01
243,1.77,-0.009272814032944676,0.039234454230169705,0.010600414078675513,-1.0533333333333335,0.09300000000000001,0.021999999999998465,1,1982-04-01
244,2.0,-0.006643603776889143,-0.03994925054366354,-0.24940476190476346,-0.9495000000000001,0.094,0.26200000000000045,1,1982-05-01
245,2.17,-0.002580025379714883,-0.02049825710612694,0.6770454545454552,0.15227272727272728,0.096,0.32200000000000273,1,1982-06-01
246,2.3,-0.0033842725684007165,-0.02325900881484829,-0.353354978354977,1.4571428571428573,0.098,0.26500000000000057,1,1982-07-01
247,2.4,-0.009122148233497853,0.10973044746600602,-0.8911904761904772,2.938636363636364,0.098,0.1389999999999958,1,1982-08-01
248,2.53,-0.002596289163842772,0.007585582157512179,-0.7159523809523805,1.9933333333333334,0.10099999999999999,0.125,1,1982-09-01
249,2.47,-0.009591190183527836,0.1047624295155961,-1.4325476190476198,1.218,0.10400000000000001,0.2540000000000049,1,1982-10-01
250,2.47,-0.003166068844476358,0.035338847117889746,-0.3559736842105252,1.3178947368421052,0.10800000000000001,0.13700000000000045,1,1982-11-01
251,2.37,-0.007153585333978456,0.01511652526707919,-0.01052631578947505,1.5186363636363636,0.10800000000000001,0.06899999999999551,0,1982-12-01
252,2.13,0.01835988370103865,0.032597136639370625,-0.08285714285714185,1.8838095238095238,0.10400000000000001,0.21300000000000097,0,1983-01-01
253,1.87,-0.006122626760418352,0.018817026438714916,0.2675939849624065,2.168421052631579,0.10400000000000001,0.07800000000000296,0,1983-02-01
